epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2798.95,1.15646,1.43374,1.20776,0.66746,0.58921,0.65689,0.424,1.26531,1.30715,1.33631,0.000185243,0.000185243,0.000185243
2,4001.29,1.11838,1.04074,1.18824,0.77937,0.66476,0.75434,0.51163,1.2065,1.05333,1.2948,0.000297202,0.000297202,0.000297202
3,5659.39,1.06314,0.91039,1.1535,0.80416,0.75326,0.80201,0.56016,1.13547,0.90565,1.24468,0.000335769,0.000335769,0.000335769
4,6969.89,0.99395,0.75895,1.11055,0.82297,0.78669,0.84479,0.60526,1.06084,0.77532,1.19206,0.000225736,0.000225736,0.000225736
5,8583.51,0.92008,0.62729,1.07114,0.89905,0.83375,0.89266,0.64879,1.00573,0.63298,1.14757,0.000115648,0.000115648,0.000115648
